date,day_change,increase
2011-01-31,0.0,0
2011-01-28,-0.2989299999999986,0
2011-01-27,0.013929999999998444,1
2011-01-26,0.02929000000000137,1
2011-01-25,0.23677999999999955,1
2011-01-24,0.33785999999999916,1
2011-01-21,-0.24643000000000015,0
2011-01-20,-0.09500000000000064,0
2011-01-19,-0.4257099999999987,0
2011-01-18,0.6724999999999994,1
2011-01-14,-0.5846400000000003,0
2011-01-13,0.026070000000000704,1
2011-01-12,0.06821000000000055,1
2011-01-11,-0.05821000000000076,0
2011-01-10,0.2160700000000002,1
2011-01-07,0.17286,1
2011-01-06,-0.026080000000000325,0
2011-01-05,0.1846500000000013,1
2011-01-04,-0.10322000000000209,0
2011-01-03,0.2428600000000003,1
2011-02-28,-0.9142899999999994,0
2011-02-25,0.21358000000000033,1
2011-02-24,0.044279999999998765,1
2011-02-23,0.1875,1
2011-02-22,-0.12070999999999898,0
2011-02-18,-0.591429999999999,0
2011-02-17,0.05213999999999963,1
2011-02-16,-0.1267800000000019,0
2011-02-15,0.057500000000000995,1
2011-02-14,0.08571000000000062,1
2011-02-11,0.07286000000000037,1
2011-02-10,-0.09429000000000087,0
2011-02-09,0.07856999999999914,1
2011-02-08,0.053930000000001144,1
2011-02-07,0.2067899999999998,1
2011-02-04,0.1517799999999987,1
2011-02-03,-0.005709999999998772,0
2011-02-02,-0.023219999999998464,0
2011-02-01,0.11249999999999893,1
2011-03-31,-0.18070999999999948,0
2011-03-30,-0.15286000000000222,0
2011-03-29,0.10643000000000136,1
2011-03-28,-0.19607000000000063,0
2011-03-25,0.18143000000000065,1
2011-03-24,0.22213999999999956,1
2011-03-23,0.09179000000000137,1
2011-03-22,-0.11715000000000053,0
2011-03-21,0.23465000000000025,1
2011-03-18,-0.04072000000000031,0
2011-03-17,0.010720000000000951,1
2011-03-16,-0.1846500000000013,0
2011-03-15,-0.003569999999999851,0
2011-03-14,-0.39570999999999934,0
2011-03-11,0.28035999999999817,1
2011-03-10,-0.1353599999999986,0
2011-03-09,-0.19893000000000072,0
2011-03-08,-0.007860000000000866,0
2011-03-07,-0.23177999999999876,0
2011-03-04,0.04750000000000121,1
2011-03-03,0.10285000000000011,1
2011-03-02,0.25821999999999967,1
2011-03-01,-0.1967900000000018,0
2011-04-29,0.3103600000000011,1
2011-04-28,0.021069999999999922,1
2011-04-27,-0.2160700000000002,0
2011-04-26,-0.04928999999999917,0
2011-04-25,0.11715000000000053,1
2011-04-21,-0.16643000000000185,0
2011-04-20,0.4103600000000007,1
2011-04-19,0.37177999999999933,1
2011-04-18,0.25,1
2011-04-15,-0.2571399999999997,0
2011-04-14,-0.053569999999998785,0
2011-04-13,-0.007860000000000866,0
2011-04-12,0.16178999999999988,1
2011-04-11,-0.12750000000000128,0
2011-04-08,-0.2092899999999993,0
2011-04-07,0.06500000000000128,1
2011-04-06,-0.11143000000000036,0
2011-04-05,0.15106999999999893,1
2011-04-04,-0.26142999999999894,0
2011-04-01,-0.2428499999999989,0
2011-05-31,0.35749999999999993,1
2011-05-27,0.22499999999999964,1
2011-05-26,-0.04179000000000066,0
2011-05-25,0.09071999999999925,1
2011-05-24,-0.07392999999999894,0
2011-05-23,0.1974999999999998,1
2011-05-20,-0.34249999999999936,0
2011-05-19,-0.08999999999999986,0
2011-05-18,0.20034999999999847,1
2011-05-17,0.15965000000000096,1
2011-05-16,-0.2571499999999993,0
2011-05-13,-0.23071000000000197,0
2011-05-12,-0.016429999999999723,0
2011-05-11,-0.1035699999999995,0
2011-05-10,0.004639999999998423,1
2011-05-09,0.036790000000001655,1
2011-05-06,-0.06536000000000008,0
2011-05-05,0.0460699999999985,1
2011-05-04,0.005000000000000782,1
2011-05-03,0.009650000000000603,1
2011-05-02,-0.0625,0
2011-06-30,0.5371400000000008,1
2011-06-29,-0.04786000000000179,0
2011-06-28,0.08536000000000143,1
2011-06-27,0.2164300000000008,1
2011-06-24,-0.13500000000000156,0
2011-06-23,0.44392999999999994,1
2011-06-22,-0.22215000000000096,0
2011-06-21,0.3028600000000008,1
2011-06-20,-0.024289999999998813,0
2011-06-17,-0.4153500000000001,0
2011-06-16,0.07463999999999871,1
2011-06-15,-0.10178999999999938,0
2011-06-14,-0.008919999999999817,0
2011-06-13,0.09999999999999964,1
2011-06-10,-0.11965000000000003,0
2011-06-09,-0.0964299999999998,0
2011-06-08,0.05250000000000021,1
2011-06-07,-0.2282100000000007,0
2011-06-06,-0.2689299999999992,0
2011-06-03,0.08999999999999986,1
2011-06-02,-0.11857000000000006,0
2011-06-01,-0.08464000000000027,0
2011-07-29,-1.3846499999999988,0
2011-07-28,-0.1421399999999995,0
2011-07-27,-0.32036000000000087,0
2011-07-26,0.021079999999999544,1
2011-07-25,0.3446399999999983,1
2011-07-22,0.07249999999999979,1
2011-07-21,0.04893000000000214,1
2011-07-20,-0.32750000000000057,0
2011-07-19,0.6471400000000003,1
2011-07-18,0.4489300000000007,1
2011-07-15,0.15213999999999928,1
2011-07-14,0.005720000000000169,1
2011-07-13,0.0957100000000004,1
2011-07-12,0.17142999999999908,1
2011-07-11,-0.10036000000000023,0
2011-07-08,0.10714000000000112,1
2011-07-07,-0.04749999999999943,0
2011-07-06,0.20428999999999853,1
2011-07-05,0.21250000000000036,1
2011-07-01,0.25178999999999974,1
2011-08-31,-1.9507199999999987,0
2011-08-30,0.08285999999999838,1
2011-08-29,0.0024999999999995026,1
2011-08-26,0.6074999999999999,1
2011-08-25,0.21750000000000114,1
2011-08-24,-0.29964000000000013,0
2011-08-23,0.4703499999999998,1
