date,day_change,increase
2015-01-30,0.0,0
2015-01-29,0.5200000000000031,1
2015-01-28,-0.32750000000000057,0
2015-01-27,1.3024999999999984,1
2015-01-26,-0.3299999999999983,0
2015-01-23,0.35999999999999943,1
2015-01-22,0.509999999999998,1
2015-01-21,0.32750000000000057,1
2015-01-20,0.27749999999999986,1
2015-01-16,0.20250000000000057,1
2015-01-15,-0.7424999999999997,0
2015-01-14,0.23999999999999844,1
2015-01-13,-0.5975000000000001,0
2015-01-12,-0.2924999999999969,0
2015-01-09,-0.017500000000001847,0
2015-01-08,0.8599999999999994,1
2015-01-07,0.5075000000000003,1
2015-01-06,0.16499999999999915,1
2015-01-05,-0.4375,0
2015-01-02,-0.7749999999999986,0
2015-02-27,-4.6525,0
2015-02-26,0.302500000000002,1
2015-02-25,-0.6925000000000026,0
2015-02-24,-0.34499999999999886,0
2015-02-23,0.7299999999999969,1
2015-02-20,0.3500000000000014,1
2015-02-19,0.035000000000003695,1
2015-02-18,0.21249999999999858,1
2015-02-17,0.03500000000000014,1
2015-02-13,0.05249999999999844,1
2015-02-12,0.3049999999999997,1
2015-02-11,0.8225000000000016,1
2015-02-10,0.6499999999999986,1
2015-02-09,0.40500000000000114,1
2015-02-06,-0.3674999999999997,0
2015-02-05,0.0,1
2015-02-04,0.379999999999999,1
2015-02-03,0.0,1
2015-02-02,0.11250000000000071,1
2015-03-31,-2.0100000000000016,0
2015-03-30,0.5100000000000016,1
2015-03-27,-0.129999999999999,0
2015-03-26,0.452499999999997,1
2015-03-25,-0.9450000000000003,0
2015-03-24,-0.17249999999999943,0
2015-03-23,0.027499999999999858,1
2015-03-20,-0.28249999999999886,0
2015-03-19,-0.125,0
2015-03-18,0.4375,1
2015-03-17,0.2749999999999986,1
2015-03-16,0.5050000000000026,1
2015-03-13,-0.13000000000000256,0
2015-03-12,0.5225000000000009,1
2015-03-11,-0.6099999999999994,0
2015-03-10,-0.41499999999999915,0
2015-03-09,-0.3874999999999993,0
2015-03-06,-0.11000000000000298,0
2015-03-05,-0.045000000000001705,0
2015-03-04,-0.12999999999999545,0
2015-03-03,0.03499999999999659,1
